case_id,cosine,finite,generated_noise,known_pixel_max_diff,l2_error,method,mse,noise_ratio,noise_source,psnr,runtime_sec,seed,source,ssim
A_ratio_08_04_06_seed_2026,0.9979826010103183,True,True,0.0,11.903650154046531,full_adaptive_ycrcb,0.002099213140591585,"[0.8, 0.4, 0.6]",,26.779434637123263,0.25995350000084727,2026,A.png,0.8618605371159291
A_ratio_04_06_08_seed_7,0.639705684875895,True,True,0.0,144.0713785955149,degraded,0.30750462415425456,"[0.4, 0.6, 0.8]",,5.121483490606734,1.849999898695387e-05,7,A.png,0.04830585037205451
A_ratio_04_06_08_seed_7,0.9965969487135651,True,True,0.0,15.452680431037779,telea_only,0.0035375604815374505,"[0.4, 0.6, 0.8]",,24.512961262878854,0.020707299998321105,7,A.png,0.8178519916853402
A_ratio_04_06_08_seed_7,0.9951203351233687,True,True,0.0,18.498262904039404,local_mean_only,0.005069418229140151,"[0.4, 0.6, 0.8]",,22.95041877820775,0.0009447999982512556,7,A.png,0.7529193932373545
A_ratio_04_06_08_seed_7,0.9983710954111346,True,True,0.0,10.695630330621025,linear_ridge_main,0.0016947630839896355,"[0.4, 0.6, 0.8]",,27.70891004544901,0.2167483999983233,7,A.png,0.8952627960174939
A_ratio_04_06_08_seed_7,0.9974403409055195,True,True,0.0,13.403861081639112,quadratic_gaussian_main_modify,0.002661681361420439,"[0.4, 0.6, 0.8]",,25.748439365621827,0.07833319999917876,7,A.png,0.8551704297791624
A_ratio_04_06_08_seed_7,0.9969639413851585,True,True,0.0,14.600284460955887,adaptive_rgb_no_ycrcb,0.0031580489828271106,"[0.4, 0.6, 0.8]",,25.00581138163524,0.1414958999994269,7,A.png,0.7934428406245001
A_ratio_04_06_08_seed_7,0.9983710954111346,True,True,0.0,10.695630330621025,fixed_window_ycrcb,0.0016947630839896355,"[0.4, 0.6, 0.8]",,27.70891004544901,0.23509000000194646,7,A.png,0.8952627960174939
A_ratio_04_06_08_seed_7,0.9980821843784794,True,True,0.0,11.608630941985556,full_adaptive_ycrcb,0.0019964490718107322,"[0.4, 0.6, 0.8]",,26.997417639137588,0.2600922999990871,7,A.png,0.8551351687148303
A_ratio_04_06_08_seed_42,0.6395785222226924,True,True,0.0,144.0912130896913,degraded,0.3075892991060568,"[0.4, 0.6, 0.8]",,5.120287775182966,1.7099999240599573e-05,42,A.png,0.04684470837848986
A_ratio_04_06_08_seed_42,0.9965165405372302,True,True,0.0,15.636359612207366,telea_only,0.0036221591395891807,"[0.4, 0.6, 0.8]",,24.410324728714464,0.021180600000661798,42,A.png,0.8174356774355616
A_ratio_04_06_08_seed_42,0.9950083306847609,True,True,0.0,18.710342837338334,local_mean_only,0.0051863248754183385,"[0.4, 0.6, 0.8]",,22.851402821709183,0.0009631999964767601,42,A.png,0.7523074743375654
A_ratio_04_06_08_seed_42,0.998319839945663,True,True,0.0,10.862045354889451,linear_ridge_main,0.0017479115450618591,"[0.4, 0.6, 0.8]",,27.57480549083506,0.22058580000157235,42,A.png,0.8957053012129892
A_ratio_04_06_08_seed_42,0.9973728782369325,True,True,0.0,13.58081293976877,quadratic_gaussian_main_modify,0.0027324219274813457,"[0.4, 0.6, 0.8]",,25.63452238142554,0.07663479999973788,42,A.png,0.8547937026159252
A_ratio_04_06_08_seed_42,0.9969005562451765,True,True,0.0,14.75456344407459,adaptive_rgb_no_ycrcb,0.0032251428507440324,"[0.4, 0.6, 0.8]",,24.914510444656432,0.14153609999993932,42,A.png,0.793889069505831
A_ratio_04_06_08_seed_42,0.998319839945663,True,True,0.0,10.862045354889451,fixed_window_ycrcb,0.0017479115450618591,"[0.4, 0.6, 0.8]",,27.57480549083506,0.24385219999749097,42,A.png,0.8957053012129892
A_ratio_04_06_08_seed_42,0.9980401360171535,True,True,0.0,11.734934174982255,full_adaptive_ycrcb,0.002040128593943207,"[0.4, 0.6, 0.8]",,26.903424571428257,0.2533675000013318,42,A.png,0.8564278359675782
